date,amount,category,payment_mode,description,income
17-05-2025,731.0,Food,UPI,Daily Meals,60000.0
18-05-2025,282.0,Food,UPI,Daily Meals,60000.0
19-05-2025,576.0,Food,UPI,Daily Meals,60000.0
20-05-2025,380.0,Food,UPI,Daily Meals,60000.0
21-05-2025,749.0,Food,UPI,Daily Meals,60000.0
22-05-2025,761.0,Food,UPI,Daily Meals,60000.0
23-05-2025,595.0,Food,UPI,Daily Meals,60000.0
24-05-2025,362.0,Food,UPI,Daily Meals,60000.0
25-05-2025,295.0,Food,UPI,Daily Meals,60000.0
26-05-2025,717.0,Food,UPI,Daily Meals,60000.0
27-05-2025,327.0,Food,UPI,Daily Meals,60000.0
28-05-2025,658.0,Food,UPI,Daily Meals,60000.0
29-05-2025,792.0,Food,UPI,Daily Meals,60000.0
30-05-2025,366.0,Food,UPI,Daily Meals,60000.0
31-05-2025,642.0,Food,UPI,Daily Meals,60000.0
01-06-2025,232.0,Food,UPI,Daily Meals,60000.0
02-06-2025,282.0,Food,UPI,Daily Meals,60000.0
03-06-2025,246.0,Food,UPI,Daily Meals,60000.0
04-06-2025,649.0,Food,UPI,Daily Meals,60000.0
05-06-2025,730.0,Food,UPI,Daily Meals,60000.0
06-06-2025,255.0,Food,UPI,Daily Meals,60000.0
07-06-2025,706.0,Food,UPI,Daily Meals,60000.0
08-06-2025,329.0,Food,UPI,Daily Meals,60000.0
09-06-2025,660.0,Food,UPI,Daily Meals,60000.0
10-06-2025,383.0,Food,UPI,Daily Meals,60000.0
11-06-2025,704.0,Food,UPI,Daily Meals,60000.0
12-06-2025,742.0,Food,UPI,Daily Meals,60000.0
13-06-2025,507.0,Food,UPI,Daily Meals,60000.0
14-06-2025,692.0,Food,UPI,Daily Meals,60000.0
15-06-2025,373.0,Food,UPI,Daily Meals,60000.0
16-06-2025,405.0,Food,UPI,Daily Meals,60000.0
17-06-2025,372.0,Food,UPI,Daily Meals,60000.0
18-06-2025,792.0,Food,UPI,Daily Meals,60000.0
19-06-2025,393.0,Food,UPI,Daily Meals,60000.0
20-06-2025,459.0,Food,UPI,Daily Meals,60000.0
21-06-2025,687.0,Food,UPI,Daily Meals,60000.0
22-06-2025,655.0,Food,UPI,Daily Meals,60000.0
23-06-2025,202.0,Food,UPI,Daily Meals,60000.0
24-06-2025,695.0,Food,UPI,Daily Meals,60000.0
25-06-2025,213.0,Food,UPI,Daily Meals,60000.0
26-06-2025,646.0,Food,UPI,Daily Meals,60000.0
27-06-2025,649.0,Food,UPI,Daily Meals,60000.0
28-06-2025,257.0,Food,UPI,Daily Meals,60000.0
29-06-2025,245.0,Food,UPI,Daily Meals,60000.0
13-05-2026,100.0,Food,UPI,Manual Entry,30000.0
13-05-2026,100.0,Food,UPI,Manual Entry,30000.0
13-05-2026,100.0,Groceries,UPI,Manual Entry,30000.0
13-05-2026,100.0,Groceries,UPI,Manual Entry,30000.0
13-05-2026,100.0,Food,UPI,momo,30000.0
13-05-2026,100.0,Food,UPI,momo,30000.0
13-05-2026,1000.0,Bills,UPI,light bill,60000.0
13-05-2026,1000.0,Bills,UPI,light bill,60000.0
13-05-2026,1000.0,Bills,UPI,light bill,60000.0
13-05-2026,100.0,Food,UPI,momo,60000.0
13-05-2026,100.0,Food,UPI,momo,60000.0
13-05-2026,100.0,Food,UPI,momo,60000.0
13-05-2026,100.0,Food,UPI,momo,60000.0
14-05-2026,100.0,Food,UPI,momo,60000.0
13-05-2026,100.0,Food,UPI,momo,60000.0
